airline_sentiment,airline_sentiment_confidence,negativereason,negativereason_confidence,airline,name,retweet_count,text,tweet_created,latitude,longitude,negative_score,positive_score,neutral_score,compound_score,NltkResult,TextBlob Polarity Score,Textblob PolarityResult sentiment,TextBlob Subjectivity Score,Textblob SubjectivityResult sentiment,Happy,Angry,Surprise,Sad,Fear,emotionResult
neutral,0.6858,,0,Virgin America,adawson66,0,virginamerica ladygaga carrieunderwood great carrieunderwood,23-02-2015 14:30,36.77291274,-118.8277678,0,0.506,0.494,0.6249,positive,0.8,positive,0.8,Very Subjective,1,0,0,0,0,happy
neutral,1,,0,Virgin America,SocialPLC,0,virginamerica ladygaga carrieunderwood sorry mary martin first,23-02-2015 14:26,38.7468979,-119.4359234,0.178,0,0.822,-0.0772,negative,-0.125,negative,-0.125,Very Objective,0,0,0.5,0.5,0,surprise
positive,1,,0,Virgin America,jeffreymace01,0,virginamerica ladygaga carrieunderwood love three really cannot beat classics,23-02-2015 14:25,37.84088592,-119.1858813,0,0.344,0.656,0.6369,positive,0.35,positive,0.35,Objective,0.33,0,0.67,0,0,surprise
neutral,0.6814,,0,Virgin America,1stcrown,0,virginamerica flight tried check could status please,23-02-2015 14:09,37.00649477,-118.8884359,0,0.277,0.723,0.3182,positive,0,neutral,0,Very Objective,0,0,0,1,0,sad
negative,1,Customer Service Issue,1,Virgin America,onerockgypsy,0,virginamerica heyyyy guyyyys trying hour someone call please,23-02-2015 13:46,40.51917871,-120.0112316,0,0.247,0.753,0.3182,positive,0,neutral,0,Very Objective,0,0,0,1,0,sad
negative,1,Late Flight,0.6789,Virgin America,noelduan,0,virginamerica virgin hold minutes earlier flights tonight earlier,23-02-2015 13:35,38.38644312,-119.7518766,0,0,1,0,neutral,0,neutral,0,Very Objective,0,0,0,0,0,Neutral
positive,0.6922,,0,Virgin America,Travelzoo,0,virginamerica congrats winning travelzoo award best deals airline kjiljaebv,23-02-2015 13:30,36.79394215,-119.3701887,0,0.744,0.256,0.9382,positive,0.75,positive,0.75,Subjective,0,0,1,0,0,surprise
negative,1,Lost Luggage,1,Virgin America,gianagon,0,virginamerica everything fine lost,23-02-2015 13:08,33.40550185,-119.9039595,0.377,0.295,0.328,-0.128,negative,0.416666667,positive,0.416666667,Neutral,0.33,0,0,0.67,0,sad
neutral,1,,0,Virgin America,bxchen,0,virginamerica need change reservation virgin credit card need modify phone waive change online,23-02-2015 12:47,38.81882347,-120.3195933,0,0.178,0.822,0.3818,positive,0,neutral,0,Very Objective,0,0,0,0,1,fear
neutral,0.6492,,0,Virgin America,seimatrun,0,virginamerica emailed customer service team know need tracking number,23-02-2015 12:00,37.92550503,-119.194533,0,0.14,0.86,0.0772,positive,0,neutral,0,Very Objective,0,0,0,0,1,fear
neutral,1,,0,Virgin America,jamied7,0,virginamerica booked flight need baggage,23-02-2015 11:56,37.70175621,-119.0740215,0,0,1,0,neutral,0,neutral,0,Very Objective,0,0,0,0,0,Neutral
negative,1,Flight Attendant Complaints,0.3516,Virgin America,seimatrun,0,virginamerica airline awesome loft needs step game dirty tables floors hyvrfhjht,23-02-2015 11:46,35.11396602,-118.994593,0.181,0.256,0.562,0.296,positive,0,neutral,0,Very Objective,0,0.33,0.67,0,0,surprise
positive,1,,0,Virgin America,mrmichaellay,0,virginamerica worried great ride plane great crew airlines like,23-02-2015 11:32,38.11243978,-118.851347,0.123,0.598,0.279,0.8591,positive,0.8,positive,0.8,Very Subjective,0.67,0,0,0.33,0,happy
positive,1,,0,Virgin America,TaylorLumsden,0,virginamerica awesome flew morning correct bill,23-02-2015 11:28,39.16085766,-119.4234235,0,0.451,0.549,0.6249,positive,1,positive,1,Very Subjective,0,0,1,0,0,surprise
neutral,1,,0,Virgin America,campusmoviefest,0,virginamerica watch best student films country feet cmfatfeet kekpdmgif,23-02-2015 11:24,33.24448323,-119.7879285,0,0.344,0.656,0.6369,positive,1,positive,1,Very Subjective,0,0,1,0,0,surprise
neutral,1,,0,Virgin America,TaylorLumsden,0,virginamerica first time flying different rate policy media bags thanks,23-02-2015 11:22,32.61784714,-119.8188106,0,0.244,0.756,0.4404,positive,0.15,positive,0.15,Very Objective,0,0,0.33,0,0.67,fear
negative,1,Customer Service Issue,1,Virgin America,meme_meng,0,virginamerica going customer service anyway speak human soon possible thank,23-02-2015 11:02,37.91708199,-119.978998,0,0.217,0.783,0.3612,positive,0,neutral,0,Very Objective,0,0,0,0,1,fear
neutral,1,,0,Virgin America,kyle_romanoff,0,virginamerica happened doom,23-02-2015 10:58,34.87928404,-119.2699675,0.574,0,0.426,-0.4019,negative,0,neutral,0,Very Objective,0,0,0,1,0,sad
negative,1,Customer Service Issue,1,Virgin America,GunsNDip,0,virginamerica cannot supp traveler like southwestair customer service like jetblue neverflyvirginforbusiness,23-02-2015 10:56,35.64947367,-119.5317565,0.319,0,0.681,-0.4973,negative,0,neutral,0,Very Objective,0,0,0,0,0,Neutral
positive,1,,0,Virgin America,artisticwritr87,0,virginamerica applied member inflight crew team interested flightattendant dreampath,23-02-2015 10:56,34.11761983,-119.9533832,0,0.252,0.748,0.4019,positive,0.25,positive,0.25,Objective,1,0,0,0,0,happy
negative,0.6792,Late Flight,0.3477,Virgin America,arieldaie,0,virginamerica best whenever begrudgingly airline delayed late flight,23-02-2015 10:54,36.81769845,-119.300948,0.157,0.347,0.496,0.5106,positive,0.35,positive,0.35,Objective,0,0,0.5,0.5,0,surprise
negative,1,Can't Tell,1,Virgin America,GunsNDip,0,virginamerica interesting flying cancelled flight next four flights planned neverflyvirginforbusiness,23-02-2015 10:54,41.408878,-119.2925397,0.157,0.213,0.63,0.1779,positive,0.25,positive,0.25,Objective,1,0,0,0,0,happy
negative,1,Can't Tell,1,Virgin America,GunsNDip,0,virginamerica disappointing experience shared every business traveler meet neverflyvirgin,23-02-2015 10:38,33.54800741,-119.1584399,0.254,0.19,0.556,-0.2023,negative,-0.6,negative,-0.6,Very Objective,0,0,0,0.5,0.5,sad
negative,1,Flight Booking Problems,1,Virgin America,jsatk,0,virginamerica trouble adding flight wife booked elevate account help pxhqoksr,23-02-2015 10:29,33.95315125,-120.0261486,0.201,0.201,0.597,0,neutral,-0.2,negative,-0.2,Very Objective,0,0,0.2,0.6,0.2,sad
neutral,0.6705,,0,Virgin America,serenaklal,0,virginamerica cannot bring reservation online using flight booking problems code,23-02-2015 10:15,35.72480365,-120.0417725,0.231,0,0.769,-0.4019,negative,0,neutral,0,Very Objective,0,0,0,0.33,0.67,fear
neutral,1,,0,Virgin America,openambit1,0,virginamerica random distribution elevate avatars kitty disproportionate share aptzpurop,23-02-2015 10:09,35.89450451,-119.5605975,0,0.216,0.784,0.296,positive,-0.5,negative,-0.5,Very Objective,0,0,0,1,0,sad
neutral,0.6545,,0,Virgin America,cabowine,0,virginamerica flying life happens trying change trip jperhi help home page,23-02-2015 10:04,36.11727339,-119.0410082,0,0.213,0.787,0.4019,positive,0,neutral,0,Very Objective,0,0,0.33,0.33,0.33,surprise
negative,1,Can't Tell,0.6513,Virgin America,MaryAnnTaylorT,0,virginamerica site back,23-02-2015 09:57,37.13158793,-119.7819486,0,0,1,0,neutral,0,neutral,0,Very Objective,0,0,0,0,0,Neutral
neutral,1,,0,Virgin America,RamotControl,0,virginamerica yeah know,23-02-2015 09:45,39.27301058,-119.1207129,0,0.524,0.476,0.296,positive,0,neutral,0,Very Objective,0,0,0,0,0,Neutral
neutral,0.6639,,0,Virgin America,losermelon,0,virginamerica points elevate account recent flight flight points account,23-02-2015 09:35,38.20244211,-118.7612847,0,0,1,0,neutral,0,neutral,0,Very Objective,0,0,0.4,0.2,0.4,surprise
negative,1,Cancelled Flight,1,Virgin America,AlisonK33774854,0,virginamerica like interesting video disappointed cancelled flightled flight flights went saturday,23-02-2015 09:29,36.55718615,-119.2605816,0.295,0.301,0.405,0.0258,positive,-0.125,negative,-0.125,Very Objective,0.33,0,0,0.33,0.33,happy
negative,1,Late Flight,1,Virgin America,GunsNDip,0,virginamerica landed hour late flight check business travel friendly nomorevirgin,23-02-2015 09:28,36.68727082,-119.8832509,0,0.262,0.738,0.4939,positive,0.0375,positive,0.0375,Very Objective,0.25,0,0,0.25,0.5,fear
neutral,0.6765,,0,Virgin America,yazdanagh,0,virginamerica flight redirected,23-02-2015 09:26,37.44891717,-120.4128516,0,0,1,0,neutral,0,neutral,0,Very Objective,0,0,0,0,0,Neutral
negative,1,Customer Service Issue,0.6863,Virgin America,MerchEngines,0,virginamerica website website great user experience time another redesign,23-02-2015 09:25,34.9992707,-119.7808989,0,0.339,0.661,0.6249,positive,0.8,positive,0.8,Very Subjective,1,0,0,0,0,happy
negative,1,Customer Service Issue,0.6771,Virgin America,ColorCartel,0,virginamerica cannot check website working tried desktop mobile avyqdmpiy,23-02-2015 09:18,35.58197858,-119.1987607,0,0,1,0,neutral,0,neutral,0,Very Objective,0,0,0,0,1,fear
negative,1,Can't Tell,0.659,Virgin America,MustBeSpoken,0,virginamerica scanned passengers leave plane told someone remove class uncomfortable,23-02-2015 09:11,36.55045574,-119.9714856,0.322,0,0.678,-0.4215,negative,-0.5,negative,-0.5,Very Objective,0,0,0.67,0.33,0,surprise
negative,1,Flight Booking Problems,0.6714,Virgin America,mattbunk,0,virginamerica phone number cannot find call flight reservation,23-02-2015 08:29,41.99529676,-119.1102837,0,0.157,0.843,0.0772,positive,0,neutral,0,Very Objective,0,0,0,0,1,fear
negative,1,Customer Service Issue,1,Virgin America,louisjenny,0,virginamerica anyone anything today website useless answering phone,23-02-2015 08:19,38.87754971,-120.4616675,0.286,0,0.714,-0.4215,negative,-0.5,negative,-0.5,Very Objective,0,0,0,0,0,Neutral
neutral,1,,0,Virgin America,STravelsW,0,virginamerica trying prince ressie thursday virginamerica gsbjcgm,23-02-2015 08:19,36.18788428,-119.5363677,0,0,1,0,neutral,0,neutral,0,Very Objective,0,0,0,0,0,Neutral
negative,1,Late Flight,0.6882,Virgin America,GunsNDip,0,virginamerica must traveler miss flight late flight check missed morning appointments lost business sfolax,23-02-2015 08:11,36.44212253,-119.5687414,0.357,0,0.643,-0.6249,negative,-0.3,negative,-0.3,Very Objective,0.17,0,0,0.67,0.17,sad
neutral,1,,0,Virgin America,joeyrenagade,0,virginamerica check music marcnocwzn,23-02-2015 08:08,37.48211833,-120.5910485,0,0,1,0,neutral,0,neutral,0,Very Objective,0,0,0,0,0,Neutral
negative,0.6925,Late Flight,0.3521,Virgin America,mrmichaellay,0,virginamerica direct flight unexpected layover vegas fuel peeps next bought vegas flight sneaky,23-02-2015 08:08,41.42624149,-119.4681639,0.137,0,0.863,-0.2263,negative,0.066666667,positive,0.066666667,Very Objective,0.5,0,0,0,0.5,happy
negative,1,Late Flight,0.3486,Virgin America,GunsNDip,0,virginamerica late flight check lost business missed flight three people flight,23-02-2015 07:51,39.26474453,-118.8538358,0.333,0,0.667,-0.5423,negative,-0.3,negative,-0.3,Very Objective,0,0,0,0.75,0.25,sad
positive,1,,0,Virgin America,TheDuchessSF,0,virginamerica amazing customer service raeann best customerservice virginamerica flying,23-02-2015 07:50,39.70061477,-119.9698269,0,0.533,0.467,0.8402,positive,0.8,positive,0.8,Very Subjective,0,0,1,0,0,surprise
negative,1,Customer Service Issue,1,Virgin America,BeLeather,0,virginamerica called service line hung awesome sarcasm,23-02-2015 07:40,39.13892095,-120.1075504,0.173,0.373,0.455,0.4939,positive,1,positive,1,Very Subjective,0,0,0.5,0,0.5,surprise
negative,1,Flight Booking Problems,0.6366,Virgin America,BeLeather,0,virginamerica site tripping trying check getting plain text version reluctant enter card info,23-02-2015 07:40,35.88454439,-119.4571159,0.143,0,0.857,-0.25,negative,-0.214285714,negative,-0.214285714,Very Objective,0,0,0,0,1,fear
neutral,0.6593,,0,Virgin America,drcaseydrake,0,virginamerica scheduled flight today changed weather looks like flight still,23-02-2015 07:28,34.73040407,-120.1622748,0,0.217,0.783,0.3612,positive,0,neutral,0,Very Objective,1,0,0,0,0,happy
positive,0.6823,,0,Virgin America,flyfromWAS,0,virginamerica getaway deals lots cool cities tzzjhuibch cheapflights farecompare,23-02-2015 06:57,38.07799429,-119.4098192,0,0.223,0.777,0.3182,positive,0.35,positive,0.35,Objective,0.5,0,0,0.5,0,happy
neutral,1,,0,Virgin America,flyfromSEA,0,virginamerica getaway deals lots cool cities rpdbpxwnd cheapflights farecompare,23-02-2015 06:57,37.39113041,-118.9355206,0,0.223,0.777,0.3182,positive,0.35,positive,0.35,Objective,0.5,0,0,0.5,0,happy
